InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,SourceYear,IsCancelled,Year,Month,YearMonth,DayOfWeek,Hour,Revenue
546875,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2011-03-17 16:38:00,0.85,12514.0,Italy,2010-2011,False,2011,3,2011-03,Thursday,16,20.4
532151,22112,CHOCOLATE HOT WATER BOTTLE,24,2010-11-11 12:11:00,4.25,14051.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,12,102.0
571714,35961,FOLKART ZINC HEART CHRISTMAS DEC,1,2011-10-18 17:00:00,1.63,,United Kingdom,2010-2011,False,2011,10,2011-10,Tuesday,17,1.63
580503,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-12-04 13:20:00,2.95,13956.0,United Kingdom,2010-2011,False,2011,12,2011-12,Sunday,13,2.95
547583,21977,PACK OF 60 PINK PAISLEY CAKE CASES,60,2011-03-24 11:07:00,0.55,12901.0,United Kingdom,2010-2011,False,2011,3,2011-03,Thursday,11,33.0
553946,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,2011-05-20 10:48:00,6.75,15601.0,United Kingdom,2010-2011,False,2011,5,2011-05,Friday,10,27.0
568706,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2011-09-28 15:32:00,7.95,14911.0,EIRE,2010-2011,False,2011,9,2011-09,Wednesday,15,15.9
545721,22676,FRENCH BLUE METAL DOOR SIGN 1,2,2011-03-07 10:52:00,1.25,15039.0,United Kingdom,2010-2011,False,2011,3,2011-03,Monday,10,2.5
574950,23271,CHRISTMAS TABLE SILVER CANDLE SPIKE,4,2011-11-08 09:29:00,1.63,,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,9,6.52
495365,21411,GINGHAM HEART  DOORSTOP RED,2,2010-01-24 12:15:00,4.25,14701.0,United Kingdom,2009-2010,False,2010,1,2010-01,Sunday,12,8.5
568938,23251,VINTAGE RED ENAMEL TRIM MUG ,5,2011-09-29 14:46:00,1.25,17220.0,United Kingdom,2010-2011,False,2011,9,2011-09,Thursday,14,6.25
569213,47566B,TEA TIME PARTY BUNTING,2,2011-10-02 12:11:00,4.95,13782.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,12,9.9
536058,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,4,2010-11-30 10:12:00,7.95,14414.0,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,10,31.8
527423,22188,BLACK HEART CARD HOLDER,4,2010-10-17 16:06:00,3.95,14755.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,16,15.8
504918,47594B,SCOTTIES DESIGN WASHBAG,1,2010-04-19 10:36:00,4.21,,United Kingdom,2009-2010,False,2010,4,2010-04,Monday,10,4.21
560729,22710,WRAP I LOVE LONDON ,25,2011-07-20 14:39:00,0.42,17511.0,United Kingdom,2010-2011,False,2011,7,2011-07,Wednesday,14,10.5
570030,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-10-07 10:44:00,0.55,12740.0,France,2010-2011,False,2011,10,2011-10,Friday,10,13.200000000000001
501126,22413,METAL SIGN TAKE IT OR LEAVE IT ,2,2010-03-12 15:28:00,2.95,13724.0,United Kingdom,2009-2010,False,2010,3,2010-03,Friday,15,5.9
525750,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2010-10-07 09:53:00,0.85,14682.0,United Kingdom,2009-2010,False,2010,10,2010-10,Thursday,9,10.2
490512,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,2,2009-12-06 14:54:00,4.95,14606.0,United Kingdom,2009-2010,False,2009,12,2009-12,Sunday,14,9.9
506487,POST,POSTAGE,1,2010-04-30 10:44:00,285.0,12806.0,Netherlands,2009-2010,False,2010,4,2010-04,Friday,10,285.0
526179,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,1,2010-10-10 11:41:00,3.75,13736.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,11,3.75
527375,22383,LUNCH BAG SUKI  DESIGN ,1,2010-10-17 12:34:00,1.65,14850.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,12,1.65
506162,21524,DOOR MAT SPOTTY HOME SWEET HOME,10,2010-04-28 09:15:00,6.35,13081.0,United Kingdom,2009-2010,False,2010,4,2010-04,Wednesday,9,63.5
527504,20981,12 PENCILS TALL TUBE WOODLAND,12,2010-10-18 12:24:00,0.85,16996.0,United Kingdom,2009-2010,False,2010,10,2010-10,Monday,12,10.2
519247,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2010-08-15 14:38:00,2.55,16101.0,United Kingdom,2009-2010,False,2010,8,2010-08,Sunday,14,15.299999999999999
541974,22807,SET OF 6 T-LIGHTS TOADSTOOLS,1,2011-01-24 14:16:00,2.95,14541.0,United Kingdom,2010-2011,False,2011,1,2011-01,Monday,14,2.95
537468,22747,POPPY'S PLAYHOUSE BATHROOM,6,2010-12-07 10:36:00,2.1,12567.0,France,2010-2011,False,2010,12,2010-12,Tuesday,10,12.600000000000001
490400,21171,BATHROOM METAL SIGN ,6,2009-12-06 10:41:00,1.45,16104.0,United Kingdom,2009-2010,False,2009,12,2009-12,Sunday,10,8.7
552508,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,2011-05-09 16:27:00,10.79,,United Kingdom,2010-2011,False,2011,5,2011-05,Monday,16,10.79
520731,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,2010-08-29 15:57:00,6.45,15555.0,United Kingdom,2009-2010,False,2010,8,2010-08,Sunday,15,6.45
557041,23152,IVORY SWEETHEART WIRE LETTER RACK ,4,2011-06-16 14:24:00,3.75,13575.0,United Kingdom,2010-2011,False,2011,6,2011-06,Thursday,14,15.0
507235,15044B,BLUE PAPER PARASOL ,24,2010-05-07 09:04:00,2.55,14298.0,United Kingdom,2009-2010,False,2010,5,2010-05,Friday,9,61.199999999999996
501776,21931,JUMBO STORAGE BAG SUKI,10,2010-03-19 12:31:00,1.95,17612.0,United Kingdom,2009-2010,False,2010,3,2010-03,Friday,12,19.5
552337,21051,RIBBONS PURSE ,6,2011-05-09 11:34:00,2.1,12621.0,Germany,2010-2011,False,2011,5,2011-05,Monday,11,12.600000000000001
575138,23033,DRAWER KNOB CERAMIC RED,1,2011-11-08 15:24:00,3.29,,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,15,3.29
530562,21888,BINGO SET,1,2010-11-03 13:47:00,3.75,16012.0,United Kingdom,2009-2010,False,2010,11,2010-11,Wednesday,13,3.75
560253,48184,DOORMAT ENGLISH ROSE ,4,2011-07-17 12:52:00,7.95,13993.0,United Kingdom,2010-2011,False,2011,7,2011-07,Sunday,12,31.8
529942,22904,CALENDAR PAPER CUT DESIGN,2,2010-10-31 14:59:00,2.95,15867.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,14,5.9
534319,22867,HAND WARMER BIRD DESIGN,1,2010-11-22 11:37:00,4.21,,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,11,4.21
497372,48194,DOOR MAT HEARTS,1,2010-02-09 10:47:00,7.49,17810.0,United Kingdom,2009-2010,False,2010,2,2010-02,Tuesday,10,7.49
533115,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,24,2010-11-16 12:28:00,0.85,14655.0,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,12,20.4
579470,23247,BISCUIT TIN 50'S CHRISTMAS,3,2011-11-29 15:06:00,2.89,16549.0,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,15,8.67
572082,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-10-20 14:18:00,3.75,17672.0,United Kingdom,2010-2011,False,2011,10,2011-10,Thursday,14,15.0
546108,47591D,PINK FAIRY CAKE CHILDRENS APRON,4,2011-03-09 12:35:00,1.95,15529.0,United Kingdom,2010-2011,False,2011,3,2011-03,Wednesday,12,7.8
580511,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,2011-12-04 13:54:00,4.15,12560.0,Germany,2010-2011,False,2011,12,2011-12,Sunday,13,24.900000000000002
571295,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-10-16 16:12:00,1.25,14741.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,16,15.0
536756,84946,ANTIQUE SILVER TEA GLASS ETCHED,1,2010-12-02 14:23:00,1.25,,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,14,1.25
534526,21719,LOVELY BONBON STICKER SHEET,12,2010-11-23 12:04:00,0.85,15384.0,United Kingdom,2009-2010,False,2010,11,2010-11,Tuesday,12,10.2
566085,22467,GUMBALL COAT RACK,4,2011-09-09 10:12:00,2.55,17841.0,United Kingdom,2010-2011,False,2011,9,2011-09,Friday,10,10.2
527413,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2010-10-17 15:13:00,9.95,13131.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,15,39.8
541584,22357,KINGS CHOICE BISCUIT TIN,1,2011-01-19 14:12:00,8.29,,United Kingdom,2010-2011,False,2011,1,2011-01,Wednesday,14,8.29
547772,21213,PACK OF 72 SKULL CAKE CASES,1,2011-03-25 11:34:00,0.55,17979.0,United Kingdom,2010-2011,False,2011,3,2011-03,Friday,11,0.55
529347,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-10-28 09:12:00,4.95,13648.0,United Kingdom,2009-2010,False,2010,10,2010-10,Thursday,9,14.850000000000001
568676,23171,REGENCY TEA PLATE GREEN ,12,2011-09-28 13:43:00,1.65,18242.0,United Kingdom,2010-2011,False,2011,9,2011-09,Wednesday,13,19.799999999999997
531903,22804,CANDLEHOLDER PINK HANGING HEART,12,2010-11-10 12:03:00,2.95,13632.0,United Kingdom,2009-2010,False,2010,11,2010-11,Wednesday,12,35.400000000000006
505709,20992,JAZZ HEARTS PURSE NOTEBOOK,2,2010-04-25 12:34:00,0.85,13050.0,United Kingdom,2009-2010,False,2010,4,2010-04,Sunday,12,1.7
572302,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,1,2011-10-23 14:47:00,2.89,15427.0,United Kingdom,2010-2011,False,2011,10,2011-10,Sunday,14,2.89
511483,84839,SWEETHEART KEY CABINET,5,2010-06-08 14:05:00,6.75,15768.0,United Kingdom,2009-2010,False,2010,6,2010-06,Tuesday,14,33.75
496882,22189,CREAM HEART CARD HOLDER,2,2010-02-04 14:13:00,3.95,15167.0,United Kingdom,2009-2010,False,2010,2,2010-02,Thursday,14,7.9
576771,85099B,JUMBO BAG RED RETROSPOT,10,2011-11-16 13:19:00,2.08,13285.0,United Kingdom,2010-2011,False,2011,11,2011-11,Wednesday,13,20.8
529150,21174,POTTERING IN THE SHED METAL SIGN,12,2010-10-26 16:03:00,1.95,16607.0,United Kingdom,2009-2010,False,2010,10,2010-10,Tuesday,16,23.4
525943,22041,"RECORD FRAME 7"" SINGLE SIZE ",6,2010-10-07 17:37:00,2.55,18223.0,United Kingdom,2009-2010,False,2010,10,2010-10,Thursday,17,15.299999999999999
534289,21354,TOAST ITS - BEST MUM,1,2010-11-22 11:25:00,2.51,,United Kingdom,2009-2010,False,2010,11,2010-11,Monday,11,2.51
538071,20770,ABSTRACT CIRCLE JOURNAL ,1,2010-12-09 14:09:00,2.51,,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,14,2.51
500073,21756,BATH BUILDING BLOCK WORD,3,2010-03-04 11:44:00,5.95,13047.0,United Kingdom,2009-2010,False,2010,3,2010-03,Thursday,11,17.85
577516,22362,GLASS JAR PEACOCK BATH SALTS,1,2011-11-20 13:08:00,2.95,16533.0,United Kingdom,2010-2011,False,2011,11,2011-11,Sunday,13,2.95
527379,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,20,2010-10-17 12:52:00,0.85,13527.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,12,17.0
574035,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,2011-11-02 12:45:00,0.85,14606.0,United Kingdom,2010-2011,False,2011,11,2011-11,Wednesday,12,0.85
527912,82600,NO SINGING METAL SIGN,4,2010-10-19 13:00:00,2.1,16919.0,United Kingdom,2009-2010,False,2010,10,2010-10,Tuesday,13,8.4
540418,22471,TV DINNER TRAY AIR HOSTESS ,3,2011-01-07 11:04:00,4.21,,United Kingdom,2010-2011,False,2011,1,2011-01,Friday,11,12.629999999999999
575739,84946,ANTIQUE SILVER T-LIGHT GLASS,4,2011-11-11 09:05:00,2.46,,United Kingdom,2010-2011,False,2011,11,2011-11,Friday,9,9.84
564184,21977,PACK OF 60 PINK PAISLEY CAKE CASES,48,2011-08-23 15:11:00,0.55,,EIRE,2010-2011,False,2011,8,2011-08,Tuesday,15,26.400000000000002
503248,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2010-03-31 10:10:00,1.25,16954.0,United Kingdom,2009-2010,False,2010,3,2010-03,Wednesday,10,15.0
575141,23681,LUNCH BAG RED VINTAGE DOILY,10,2011-11-08 15:35:00,1.65,15615.0,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,15,16.5
559693,20665,RED RETROSPOT PURSE ,2,2011-07-11 16:21:00,2.46,,United Kingdom,2010-2011,False,2011,7,2011-07,Monday,16,4.92
528040,21486,PINK HEART DOTS HOT WATER BOTTLE,4,2010-10-20 11:32:00,3.75,13557.0,United Kingdom,2009-2010,False,2010,10,2010-10,Wednesday,11,15.0
578347,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1,2011-11-24 09:26:00,1.63,,United Kingdom,2010-2011,False,2011,11,2011-11,Thursday,9,1.63
579196,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,3,2011-11-28 15:54:00,1.63,14096.0,United Kingdom,2010-2011,False,2011,11,2011-11,Monday,15,4.89
581217,22741,FUNKY DIVA PEN,4,2011-12-08 09:20:00,1.63,,United Kingdom,2010-2011,False,2011,12,2011-12,Thursday,9,6.52
574686,21810,CHRISTMAS HANGING STAR WITH BELL,4,2011-11-06 13:00:00,0.39,17608.0,United Kingdom,2010-2011,False,2011,11,2011-11,Sunday,13,1.56
541507,22202,MILK PAN PINK POLKADOT,1,2011-01-18 16:05:00,7.46,,United Kingdom,2010-2011,False,2011,1,2011-01,Tuesday,16,7.46
536876,85017B,ENVELOPE 50 BLOSSOM IMAGES,6,2010-12-03 11:36:00,0.85,,United Kingdom,2009-2010,False,2010,12,2010-12,Friday,11,5.1
531352,48188,DOORMAT WELCOME PUPPIES,1,2010-11-07 13:45:00,7.95,13137.0,United Kingdom,2009-2010,False,2010,11,2010-11,Sunday,13,7.95
492830,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,2009-12-20 15:38:00,1.25,12683.0,France,2009-2010,False,2009,12,2009-12,Sunday,15,15.0
530422,21012,ANTIQUE ALL GLASS CANDLESTICK,4,2010-11-03 09:36:00,2.51,,United Kingdom,2009-2010,False,2010,11,2010-11,Wednesday,9,10.04
562784,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,3,2011-08-09 13:22:00,0.55,16791.0,United Kingdom,2010-2011,False,2011,8,2011-08,Tuesday,13,1.6500000000000001
577742,22343,PARTY PIZZA DISH RED RETROSPOT,6,2011-11-21 13:41:00,0.85,13755.0,United Kingdom,2010-2011,False,2011,11,2011-11,Monday,13,5.1
540561,85059,FRENCH ENAMEL WATER BASIN,16,2011-01-10 10:32:00,1.25,13004.0,United Kingdom,2010-2011,False,2011,1,2011-01,Monday,10,20.0
577258,23331,DECORATIVE WICKER HEART SMALL,1,2011-11-18 12:27:00,0.63,16764.0,United Kingdom,2010-2011,False,2011,11,2011-11,Friday,12,0.63
578719,23489,VINTAGE BELLS GARLAND,2,2011-11-25 11:25:00,2.89,17348.0,United Kingdom,2010-2011,False,2011,11,2011-11,Friday,11,5.78
569358,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-10-03 14:53:00,2.1,18257.0,United Kingdom,2010-2011,False,2011,10,2011-10,Monday,14,12.600000000000001
563351,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,12,2011-08-15 14:17:00,3.75,16902.0,United Kingdom,2010-2011,False,2011,8,2011-08,Monday,14,45.0
576617,22419,LIPSTICK PEN RED,1,2011-11-15 16:57:00,0.83,,United Kingdom,2010-2011,False,2011,11,2011-11,Tuesday,16,0.83
570880,23374,RED SPOT PAPER GIFT BAG,10,2011-10-13 09:16:00,0.82,14291.0,United Kingdom,2010-2011,False,2011,10,2011-10,Thursday,9,8.2
536623,21070,VINTAGE BILLBOARD MUG ,12,2010-12-02 10:39:00,1.25,15601.0,United Kingdom,2010-2011,False,2010,12,2010-12,Thursday,10,15.0
528179,85099F,JUMBO BAG STRAWBERRY,10,2010-10-21 10:49:00,1.95,14227.0,United Kingdom,2009-2010,False,2010,10,2010-10,Thursday,10,19.5
534035,84821,DANISH ROSE DELUXE COASTER,12,2010-11-19 15:50:00,0.85,13124.0,United Kingdom,2009-2010,False,2010,11,2010-11,Friday,15,10.2
532325,21733,RED HANGING HEART T-LIGHT HOLDER,12,2010-11-11 15:25:00,2.95,16735.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,15,35.400000000000006
567980,22754,SMALL RED BABUSHKA NOTEBOOK ,2,2011-09-23 11:22:00,0.85,15311.0,United Kingdom,2010-2011,False,2011,9,2011-09,Friday,11,1.7
503332,37449,CERAMIC CAKE STAND + HANGING CAKES,8,2010-03-31 12:19:00,8.5,13802.0,United Kingdom,2009-2010,False,2010,3,2010-03,Wednesday,12,68.0
575477,22150,3 STRIPEY MICE FELTCRAFT,1,2011-11-09 16:14:00,4.13,,United Kingdom,2010-2011,False,2011,11,2011-11,Wednesday,16,4.13
538146,21539,RED RETROSPOT BUTTER DISH,6,2010-12-09 16:10:00,4.95,15596.0,United Kingdom,2009-2010,False,2010,12,2010-12,Thursday,16,29.700000000000003
502854,20829,GLITTER HANGING BUTTERFLY STRING,2,2010-03-28 14:48:00,2.1,13684.0,United Kingdom,2009-2010,False,2010,3,2010-03,Sunday,14,4.2
520665,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-08-27 13:05:00,1.95,13206.0,United Kingdom,2009-2010,False,2010,8,2010-08,Friday,13,19.5
543022,21877,HOME SWEET HOME MUG,1,2011-02-02 14:37:00,1.25,16771.0,United Kingdom,2010-2011,False,2011,2,2011-02,Wednesday,14,1.25
550215,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2011-04-15 10:43:00,7.46,,United Kingdom,2010-2011,False,2011,4,2011-04,Friday,10,7.46
494804,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2010-01-18 15:10:00,2.95,15298.0,United Kingdom,2009-2010,False,2010,1,2010-01,Monday,15,17.700000000000003
494384,21410,COUNTRY COTTAGE  DOORSTOP GREEN,3,2010-01-14 08:30:00,4.25,16304.0,United Kingdom,2009-2010,False,2010,1,2010-01,Thursday,8,12.75
545661,22423,REGENCY CAKESTAND 3 TIER,2,2011-03-04 14:41:00,12.75,15358.0,United Kingdom,2010-2011,False,2011,3,2011-03,Friday,14,25.5
541104,22396,MAGNETS PACK OF 4 RETRO PHOTO,2,2011-01-13 14:29:00,0.83,,United Kingdom,2010-2011,False,2011,1,2011-01,Thursday,14,1.66
533577,22865,HAND WARMER OWL DESIGN,10,2010-11-18 11:08:00,2.1,17377.0,United Kingdom,2009-2010,False,2010,11,2010-11,Thursday,11,21.0
546980,22960,JAM MAKING SET WITH JARS,6,2011-03-18 12:18:00,4.25,13591.0,United Kingdom,2010-2011,False,2011,3,2011-03,Friday,12,25.5
499499,22084,PAPER CHAIN KIT EMPIRE,6,2010-02-28 14:41:00,2.95,17211.0,United Kingdom,2009-2010,False,2010,2,2010-02,Sunday,14,17.700000000000003
529833,22766,PHOTO FRAME CORNICE,2,2010-10-31 12:32:00,2.95,16791.0,United Kingdom,2009-2010,False,2010,10,2010-10,Sunday,12,5.9
535487,22318,FIVE HEART HANGING DECORATION,1,2010-11-26 14:41:00,5.91,,United Kingdom,2009-2010,False,2010,11,2010-11,Friday,14,5.91
564950,21326,AGED GLASS SILVER T-LIGHT HOLDER,36,2011-08-31 13:31:00,0.65,17320.0,United Kingdom,2010-2011,False,2011,8,2011-08,Wednesday,13,23.400000000000002
511936,21407,BROWN CHECK CAT DOORSTOP ,16,2010-06-11 12:06:00,3.75,18144.0,United Kingdom,2009-2010,False,2010,6,2010-06,Friday,12,60.0
506442,22529,MAGIC DRAWING SLATE GO TO THE FAIR ,1,2010-04-29 16:45:00,0.42,16520.0,United Kingdom,2009-2010,False,2010,4,2010-04,Thursday,16,0.42
576984,21733,RED HANGING HEART T-LIGHT HOLDER,3,2011-11-17 11:54:00,2.95,14332.0,United Kingdom,2010-2011,False,2011,11,2011-11,Thursday,11,8.850000000000001
514355,47590B,PINK HAPPY BIRTHDAY BUNTING,1,2010-07-01 16:48:00,5.45,17589.0,United Kingdom,2009-2010,False,2010,7,2010-07,Thursday,16,5.45
527937,22271,FELTCRAFT DOLL ROSIE,12,2010-10-19 14:05:00,2.95,12594.0,Italy,2009-2010,False,2010,10,2010-10,Tuesday,14,35.400000000000006
529602,85065,CREAM SWEETHEART TRAYS,23,2010-10-29 09:57:00,9.95,14088.0,United Kingdom,2009-2010,False,2010,10,2010-10,Friday,9,228.85
560926,22785,SQUARECUSHION COVER PINK UNION JACK,1,2011-07-22 09:20:00,7.46,,United Kingdom,2010-2011,False,2011,7,2011-07,Friday,9,7.46
577023,23531,WALL ART BIG LOVE ,4,2011-11-17 12:43:00,6.95,16186.0,United Kingdom,2010-2011,False,2011,11,2011-11,Thursday,12,27.8
519473,22133,PINK LOVE HEART SHAPE CUP,1,2010-08-17 12:03:00,1.66,,United Kingdom,2009-2010,False,2010,8,2010-08,Tuesday,12,1.66
571221,20973,12 PENCIL SMALL TUBE WOODLAND,24,2011-10-14 13:35:00,0.65,16416.0,United Kingdom,2010-2011,False,2011,10,2011-10,Friday,13,15.600000000000001
576654,22355,CHARLOTTE BAG SUKI DESIGN,3,2011-11-16 10:55:00,0.85,15584.0,United Kingdom,2010-2011,False,2011,11,2011-11,Wednesday,10,2.55
553941,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,2011-05-20 10:37:00,7.95,14334.0,United Kingdom,2010-2011,False,2011,5,2011-05,Friday,10,15.9
519829,21471,STRAWBERRY RAFFIA FOOD COVER,12,2010-08-20 14:53:00,3.75,14911.0,EIRE,2009-2010,False,2010,8,2010-08,Friday,14,45.0
546882,84946,ANTIQUE SILVER TEA GLASS ETCHED,12,2011-03-17 17:26:00,1.25,14422.0,United Kingdom,2010-2011,False,2011,3,2011-03,Thursday,17,15.0
566063,23032,DRAWER KNOB CRACKLE GLAZE IVORY,12,2011-09-08 15:41:00,1.65,16011.0,United Kingdom,2010-2011,False,2011,9,2011-09,Thursday,15,19.799999999999997
532544,21224,SET/4 SKULL BADGES,10,2010-11-12 12:10:00,1.25,13309.0,United Kingdom,2009-2010,False,2010,11,2010-11,Friday,12,12.5
